epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6768.03,1.43882,0.6217,0.9103,0.9416,0.90284,0.93915,0.45709,1.72502,0.68402,0.94403,0.0005348,0.0005348,0.0005348
76,6864.75,1.41098,0.61449,0.91033,0.94361,0.90362,0.93854,0.4539,1.73471,0.684,0.947,0.000515,0.000515,0.000515
77,6958.87,1.43241,0.61913,0.9131,0.9479,0.898,0.93739,0.45651,1.72832,0.67599,0.94533,0.0004952,0.0004952,0.0004952
78,7058.67,1.41279,0.61196,0.90713,0.94906,0.8985,0.93948,0.45632,1.72328,0.68511,0.94409,0.0004754,0.0004754,0.0004754
79,7160.86,1.41334,0.60839,0.90878,0.94239,0.8985,0.93561,0.45203,1.7292,0.68237,0.94631,0.0004556,0.0004556,0.0004556
80,7265.16,1.41505,0.60702,0.90773,0.93944,0.8985,0.93715,0.45513,1.73173,0.67469,0.94694,0.0004358,0.0004358,0.0004358
81,7367.42,1.41177,0.60975,0.90916,0.95039,0.897,0.93811,0.458,1.72515,0.67645,0.94387,0.000416,0.000416,0.000416
82,7469.84,1.41003,0.6056,0.90664,0.94675,0.9015,0.93534,0.45411,1.72588,0.67856,0.94553,0.0003962,0.0003962,0.0003962
83,7571.8,1.42729,0.61402,0.91068,0.94519,0.9075,0.9411,0.45785,1.72252,0.67364,0.94399,0.0003764,0.0003764,0.0003764
84,7673.13,1.39063,0.60259,0.90377,0.94324,0.902,0.93962,0.45791,1.72168,0.67579,0.94477,0.0003566,0.0003566,0.0003566
85,7774.97,1.38893,0.5986,0.90484,0.9441,0.8995,0.93566,0.45734,1.72065,0.67873,0.94508,0.0003368,0.0003368,0.0003368
86,7876.17,1.40543,0.60634,0.90722,0.94494,0.90102,0.93729,0.45442,1.72603,0.67434,0.9447,0.000317,0.000317,0.000317
87,7972.71,1.39976,0.59713,0.90117,0.94287,0.8994,0.93731,0.45562,1.72408,0.67716,0.94452,0.0002972,0.0002972,0.0002972
88,8065.83,1.39534,0.6012,0.90805,0.94951,0.896,0.93773,0.45816,1.72326,0.67265,0.9456,0.0002774,0.0002774,0.0002774
89,8158.8,1.38811,0.59896,0.90311,0.94935,0.903,0.94194,0.46003,1.71421,0.66957,0.94266,0.0002576,0.0002576,0.0002576
90,8255.55,1.38613,0.59446,0.90219,0.94369,0.9035,0.93596,0.45956,1.7168,0.66875,0.94345,0.0002378,0.0002378,0.0002378
91,8397.45,1.37575,0.59306,0.92386,0.94582,0.89907,0.93474,0.45343,1.72639,0.67983,0.94459,0.000218,0.000218,0.000218
92,8478.9,1.36115,0.59047,0.91744,0.94433,0.89911,0.93412,0.45579,1.72104,0.67129,0.94431,0.0001982,0.0001982,0.0001982
93,8572.37,1.36836,0.59083,0.9198,0.94668,0.899,0.93519,0.455,1.7225,0.67171,0.94458,0.0001784,0.0001784,0.0001784
94,8665.46,1.36329,0.58799,0.91674,0.94608,0.9025,0.93622,0.45587,1.7201,0.66933,0.94532,0.0001586,0.0001586,0.0001586
95,8759.87,1.35137,0.58496,0.91788,0.94343,0.9005,0.93565,0.45455,1.72597,0.6739,0.94529,0.0001388,0.0001388,0.0001388
96,8858.31,1.3547,0.58529,0.91649,0.94307,0.90281,0.93712,0.45645,1.7275,0.67113,0.94504,0.000119,0.000119,0.000119
97,8955.75,1.35256,0.58297,0.9153,0.948,0.90236,0.93851,0.45854,1.72827,0.66969,0.94533,9.92e-05,9.92e-05,9.92e-05
98,9047.95,1.34842,0.57802,0.91531,0.94627,0.90701,0.93954,0.45833,1.72518,0.67038,0.94488,7.94e-05,7.94e-05,7.94e-05
99,9138.01,1.35407,0.58272,0.91673,0.95137,0.89989,0.93868,0.45753,1.72372,0.66842,0.94533,5.96e-05,5.96e-05,5.96e-05
100,9226.89,1.34201,0.57845,0.91385,0.94906,0.9025,0.9394,0.45863,1.72318,0.66794,0.94483,3.98e-05,3.98e-05,3.98e-05
